comentario_esp,mp_tag,calidad,facilidad,materia,calif_Obtenida,fecha,comentario_eng
YO  LLEV E SIETE CLASES CON EL PROFESOR JURAZ PENA Y  EN TODAS DEMOSTRO  CAPACIDA HONESTIDAD RESPONSABILIDAD RESPETO  PARA  EL ALUMNO Y EXAGERADAMENTE CUMPLIDO   ES DECIR TOMA SU  PAPEL MUY EN SERIO Y  QUIERE QUE EL ALUMNO  SEA COMO EL PERO  NOSOTROS  COMO  ALUMNOS  SOMOS FLOJOS  HASTA QUE SALIMOS NOS DAMOS  CUENTA QUE EL  MAESTRO  SIEMPORE TUVO  LA RAZON SIGA MAESTRO COMO  ES,BUENO,10.0,10.0,"INT. AL ESTUDIO  DE DERECHO , D. CIVILES ENTRE OTRAS",10.0,08/Sep/2011,I HAVE HAD SEVEN CLASSES WITH PROFESSOR JURAZ PENA AND IN ALL OF THEM HE SHOWED HONESTY HONESTY RESPONSIBILITY RESPECT FOR THE STUDENT AND EXAGGERATEDLY ACCOMPLISHED I.E. HE TAKES HIS ROLE VERY SERIOUSLY AND WANTS THE STUDENT TO BE LIKE HIM BUT WE AS STUDENTS ARE LAZY UNTIL WE LEAVE WE REALIZE THAT THE TEACHER HAS ALWAYS BEEN RIGHT FOLLOW THE TEACHER AS HE IS.
ES  BUEN  PROFESOR Y  MUY  EXIGENTE  NUNCA FALTA CUMPLE MUY  BIEN  CON  SU  PAPEL  DE PROFESOR,BUENO,10.0,10.0,DERECHO  PROCESAL,10.0,07/Sep/2011,"HE IS A GOOD TEACHER AND VERY DEMANDING, NEVER FAILS TO FULFILL HIS ROLE AS A TEACHER VERY WELL."
ES  EXCELENTE  MAESTRO,BUENO,10.0,10.0,DERECHO  CIVIL,10.0,06/Sep/2011,IS AN EXCELLENT TEACHER
EXCELENTE  PROFESOR CON  MUCHA  EXPERIENCIA,BUENO,10.0,10.0,DERECHO  CIVIL,10.0,06/Sep/2011,EXCELLENT TEACHER WITH A LOT OF EXPERIENCE
NUNCA HE TENIDO UN MAESTRO  COMO  JURAZ  PENA SE LA SABE DE TODAS TODAS DA  MUCHOS  EJEMPLOS PRACTICOS  QUE  NOS SIRVEN  EN  LA VIDA  JURIDICA  LO  QUE LE PREGUNTE TE RESPONDE SABE MUCHO Y ES UN  BUEN  MAESTRO  Y SIEMPRE ESTA DISPUESTO  A AYUDARTE,BUENO,10.0,10.0,"DERECHO  PROICESALES,  CIVIL,  MERCANTIL Y PENAL",10.0,06/Sep/2011,"I HAVE NEVER HAD A TEACHER LIKE JURAZ PENA, HE KNOWS EVERYTHING ABOUT EVERYTHING, HE GIVES MANY PRACTICAL EXAMPLES THAT HELP US IN OUR LEGAL LIFE, WHATEVER YOU ASK HIM HE ANSWERS YOU, HE KNOWS A LOT, HE IS A GOOD TEACHER AND HE IS ALWAYS WILLING TO HELP YOU."
hace trabajar  mucho  pero  es  buen  profesor,BUENO,10.0,10.0,derecho  civil,10.0,05/Sep/2011,makes you work hard but he is a good teacher
es un  buen  maestro,BUENO,10.0,10.0,"derecho  civil ,  contratos",10.0,05/Sep/2011,is a good teacher
ES  UN  EXCELENTE MAESTRO  PERO  DEJA MUCHAS TAREAS  Y  NUNCA FALTA,BUENO,10.0,10.0,DERECHO   ADMINISTRATIVO,10.0,04/Sep/2011,HE IS AN EXCELLENT TEACHER BUT HE LEAVES A LOT OF HOMEWORK AND IS NEVER ABSENT.
ES  UN  PROFESOR QUE  NO  LE GUSTAN  LOS  ALUMNOS  IRRESPONSABLES Y  FLOJOS  ES UN EXCELENTE  PROFESOR PARA  EL  ALUMNO CUMPLIDO  SE  APRENDE  MUCHO CON  EL  SI  ERES  CUMPLIDO,BUENO,10.0,10.0,DERECHO  PROCESAL  PENAL,10.0,03/Sep/2011,HE IS A TEACHER WHO DOES NOT LIKE IRRESPONSIBLE AND LAZY STUDENTS. HE IS AN EXCELLENT TEACHER FOR THE COMPLIANT STUDENT WHO LEARNS A LOT FROM HIM IF YOU ARE COMPLIANT.
EXCELENTE MAESTRO   SE APRENDE SI TRABAJAS Y CUMPLES  EN  SU  CLASE,BUENO,10.0,10.0,PROCESALES CIVILES  Y  MERCANTILES,10.0,02/Sep/2011,EXCELLENT TEACHER YOU LEARN IF YOU WORK AND PERFORM IN HIS CLASS.
SOLO CON EL PROFESOR JURAZ HE APRENDIDO,BUENO,10.0,10.0,PROCESAL CIVIL,10.0,02/Sep/2011,ONLY WITH PROFESSOR JURAZ HAVE I LEARNED
que buen profesor,BUENO,10.0,10.0,filosofia,10.0,01/Sep/2011,what a great teacher
ES  UN  MAESTRO RESPONSABLE Y ESTRICTO  SE  APRENDE MUCHO  CON  EL  PROFESOR JURAZ  PENA,BUENO,10.0,10.0,PROCEDIMIENTO  FISCAL,10.0,01/Sep/2011,HE IS A RESPONSIBLE AND STRICT TEACHER YOU LEARN A LOT WITH PROFESSOR JURAZ PENA.
ES  UN  BUEN  PROFESOR  RESPONSABLE  SABEDOR   DE SU  LABOR,BUENO,10.0,10.0,DERECHO  FISCAL,10.0,31/Ago/2011,IS A GOOD AND RESPONSIBLE TEACHER WHO KNOWS HIS JOB.
que  profesor se aprende mucho  con el profesor juraz,BUENO,10.0,10.0,derecho  administrativo,10.0,31/Ago/2011,what a teacher you learn a lot with professor juraz
ES  UN  MAESTRO MUY  CUMPLIDO  PERO  A  VECES  EXAGERA  NUNCA  FALTA ES  MUY  ESTRICTO  PERO  APRENDES  MUCHO  PERO  HAY  QUE CUMPLIR  Y  NO  FALTAR  A  SUS  CLASES,BUENO,10.0,10.0,DERECHOS  PROCESALES MERCANTIL  Y  PENAL,10.0,30/Ago/2011,"HE IS A VERY ACCOMPLISHED TEACHER BUT SOMETIMES HE EXAGGERATES, HE IS NEVER ABSENT, HE IS VERY STRICT BUT YOU LEARN A LOT BUT YOU HAVE TO COMPLY AND NOT MISS HIS CLASSES."
ES UN PROFESOR  QUE  SABE  LO  QUE ENSENA,BUENO,10.0,10.0,D.  MERCANTIL,10.0,29/Ago/2011,IS A TEACHER WHO KNOWS WHAT HE TEACHES
MUY  BUEN  PROFESOR  LO  QUEREMOS  MUCHO,BUENO,10.0,10.0,INT.  AL  DERECHO,10.0,29/Ago/2011,VERY GOOD TEACHER WE LOVE HIM VERY MUCH
muy  bueno,BUENO,10.0,10.0,derecho  civil,10.0,28/Ago/2011,very good
excelente maestro se aprende mucho con  el profesor  juraz  pena,BUENO,10.0,10.0,procesal  penal,10.0,28/Ago/2011,excellent teacher one learns a lot with professor juraz pena.
excedente maestro  pero  deja mucha tareas,BUENO,10.0,10.0,filosofia juridica,10.0,25/Ago/2011,master surplus but leaves a lot of homework
MUY  BUENO,BUENO,10.0,10.0,D.C.,10.0,23/Ago/2011,VERY GOOD
ES  MUY  EXIGENTEPERO  MUY  BUEN  MAESTRO,BUENO,10.0,10.0,DERECHO  ADMINISTRATIVO,10.0,22/Ago/2011,VERY DEMANDINGBUT A VERY GOOD TEACHER
ES  UN BUEN PROFESOR SE APRENDE Y NO FALTA A CLASES ES MUY ESTRICTO,BUENO,10.0,10.0,T. FORMAS  AUTOCOMP DE RESOL.  DE CONFLICTOS,10.0,21/Ago/2011,HE IS A GOOD TEACHER YOU LEARN AND DOES NOT MISS CLASSES HE IS VERY STRICT
ES  UN  PROFESOR  ACEPTABLE  POR  TODOS  YO HE  APRENDIDO  MUCHO CON  EL,BUENO,10.0,10.0,DERECHO   PROCESAL,10.0,21/Ago/2011,"HE IS A TEACHER ACCEPTABLE TO ALL, I HAVE LEARNED A LOT WITH HIM."
ES  UN  EXCELENTE  PROFESOR PERO  EXAGERA  EN LA RESPONSABILIDAD ES MUY  ESTRICTO  Y  DEJA MUCHA TAREAS  PERO  SE APRENDE MUCHO  Y  YA  LO RECOMIENDO  SI  QUIERERS ESTUDIAR Y  APRENDER LLEVA CLASES CON EL PROFESOR  JURAZ  PENA,BUENO,10.0,10.0,D.  PROCESAL CIVIL  Y  MERCANTIL,10.0,21/Ago/2011,HE IS AN EXCELLENT TEACHER BUT HE EXAGGERATES IN THE RESPONSIBILITY HE IS VERY STRICT AND LEAVES A LOT OF HOMEWORK BUT YOU LEARN A LOT AND I RECOMMEND HIM IF YOU WANT TO STUDY AND LEARN TAKE CLASSES WITH PROFESSOR JURAZ PENA.
ES BUEN  PROFESOR SON LOS  ALUMNOS  QUE  NO QUIEREN  CUMPLIR SON  FLOJOS,BUENO,10.0,10.0,DERECHO  FISCAL,10.0,20/Ago/2011,IS A GOOD TEACHER IT IS THE STUDENTS WHO DO NOT WANT TO COMPLY THEY ARE LAZY
ES BUEN  PROFESOR SON LOS  ALUMNOS  QUE  NO QUIEREN  CUMPLIR SON  FLOJOS,BUENO,10.0,10.0,DERECHO  FISCAL,10.0,20/Ago/2011,IS A GOOD TEACHER IT IS THE STUDENTS WHO DO NOT WANT TO COMPLY THEY ARE LAZY
ES  BUEN MAESTRO SE APRENDE PERO DEBES HACER TAREAS,BUENO,10.0,10.0,D. ADMINISTRATIVO,10.0,19/Ago/2011,IS A GOOD TEACHER YOU LEARN BUT YOU HAVE TO DO HOMEWORK
ES  UN  EXCEDENTE  MAESTRO  BUSCA  SIEMPRE MEJORES   METODOS  DE  ENSENANZA  YO  APRENDI  MUCHO,BUENO,10.0,10.0,DERECHO  FISCAL,10.0,18/Ago/2011,IS A SURPLUS TEACHER ALWAYS LOOKING FOR BETTER TEACHING METHODS I LEARNED A LOT.
excedente  maestro  se  aprende,BUENO,10.0,10.0,d.fiscal,10.0,18/Ago/2011,teacher surplus is learned
EL MEJOR,BUENO,10.0,10.0,"D,CIVIL",10.0,17/Ago/2011,THE BEST
ES  BUEN PROFESOR Y  LO  RECOMIENDO,BUENO,10.0,10.0,D.FISCAL,10.0,17/Ago/2011,HE IS A GOOD TEACHER AND I RECOMMEND HIM
MUY  BUENO  ENSENA  MUCHO,BUENO,10.0,10.0,D. FISCAL  Y  PROCESAL,10.0,16/Ago/2011,VERY GOOD TEACHES A LOT
ES  UN  PROFESOR RESPONSABLE  HONESTO   CON  MUCHA  EXPERIENCIA QUE  APRENDES MUCHO  CON  EL,BUENO,10.0,10.0,"DERECHO  PROCESALES COMO  CIVIL, FISCAL ...",10.0,16/Ago/2011,HE IS A RESPONSIBLE AND HONEST TEACHER WITH A LOT OF EXPERIENCE THAT YOU LEARN A LOT WITH HIM.
MUY  BUENO Y  ENSENA MUCHO,BUENO,10.0,10.0,D.  CIVIL,10.0,15/Ago/2011,VERY GOOD AND TEACHES A LOT
muy   bueno,BUENO,10.0,10.0,d.civil  uno,10.0,15/Ago/2011,very good
LOS  FLOJOS E  IRRESPONSABLES  LE  SACAN  LA  VUELTA  AL  MAESTRO,BUENO,10.0,10.0,DERECHO  CIVIL,10.0,15/Ago/2011,THE LAZY AND IRRESPONSIBLE TAKE THE TEACHER FOR A RIDE
CONSIDERO  QUE  ES UN GRAN  MAESTRO  PERO  QUE  NO  DEJE MUCHAS TAREAS,BUENO,10.0,10.0,D.  PROCESAL  MERCANTIL,10.0,15/Ago/2011,I CONSIDER HIM TO BE A GREAT TEACHER BUT DO NOT LEAVE TOO MANY HOMEWORK ASSIGNMENTS.
BUEN  MAESTRO  DEJA  MUCHA  TAREAS  PERO  ESO  ES  BUENO  PORQUE  SE  APRENDE MAS,BUENO,10.0,10.0,DERECHO  PROCESAL MERCANTIL,10.0,15/Ago/2011,GOOD TEACHER LEAVES A LOT OF HOMEWORK BUT THAT IS GOOD BECAUSE YOU LEARN MORE.
SI  ES  BUENO  EN  LAS  MATERIAS  QUE  IMPARTE  Y  SE APRENDE,BUENO,10.0,10.0,D.  PROCESALES,10.0,14/Ago/2011,IF HE IS GOOD AT THE SUBJECTS HE TEACHES AND IF HE IS LEARNED
ES BUENO Y  SE  APRENDE PERO  DEJA  TAREAS,BUENO,10.0,10.0,DERECHO  ADMINISTRATIVO,10.0,13/Ago/2011,GOOD AND LEARNABLE BUT LEAVES HOMEWORK TO BE DONE
muy  bueno   como  profesor  pero  deja  mucha  tarea,BUENO,10.0,10.0,derecho  fiscal,10.0,13/Ago/2011,very good as a teacher but leaves a lot of homework
Lo recomiuendo  para  los  que  quieren  estudiar y aprender,BUENO,10.0,10.0,derecho  fiscal,10.0,13/Ago/2011,I recommend it for those who want to study and learn.
ES  UNO  DE  LOS  MEJORES  PROFESORES Y  QUE  PROCUPA  POR  LOS ALUMNOS  PORQUE  LES  AYUDA HASTA ECONOMICAMENTE,BUENO,10.0,10.0,INT.  EST.  DE  DERECHO,10.0,12/Ago/2011,HE IS ONE OF THE BEST TEACHERS AND HE CARES ABOUT HIS STUDENTS BECAUSE HE EVEN HELPS THEM FINANCIALLY.
buen profesor,BUENO,10.0,10.0,derecho  civil,10.0,11/Ago/2011,good teacher
muy bien  es  un  gran  maestro,BUENO,10.0,10.0,int. al  est.  de  derecho,10.0,10/Ago/2011,very well he is a great teacher
he  llevado  ocho  materias  con  el  maestro  juraz y  toda  una generacion  llevo  clases con  el  nos  enojabamos porque  dejaba  mucha  tareas  pero  siempre  nos  insbiamos  con el  es  bueno  pero  que  no  dejetantas  tareas,BUENO,10.0,10.0,"derechos,civiles, mercantilesetc..",10.0,09/Ago/2011,i have taken eight subjects with the teacher juraz and a whole generation took classes with him we used to get angry because he left a lot of homework but we always insisted with him he is good but he should not leave so many homework assignments.
es muy  buen profesor  con  mucha  experiencia  de asuntos  judiciales  yo  aprendi  mucho  con  el,BUENO,10.0,10.0,derecho  fiscal  y  procesal,10.0,09/Ago/2011,he is a very good teacher with a lot of experience in judicial matters and I learned a lot with him.
ES  UNO  DE  LOS MEJORES MAESTRO  ENSENA MUY  BIEN Y  AYUDA  MUCHO A SUS ALUMNOS,BUENO,10.0,10.0,DERECHO  ADMINISTRATIVO,10.0,09/Ago/2011,"HE IS ONE OF THE BEST TEACHERS, HE TEACHES VERY WELL AND HELPS HIS STUDENTS A LOT."
gran  maestro  grscias  profesor  por sus consejo,BUENO,10.0,10.0,int. al  est.  de  derecho,10.0,08/Ago/2011,great teacher thank you professor for your advice
QUE  BUEN  PROFESOR ES JURAZ PENA  LO ESTIMO MUCHO  PORQUE SE PREOCUPA POR SUS ALUMNOS   Y ENSENA BIEN,BUENO,10.0,10.0,D. FISCAL,10.0,08/Ago/2011,"WHAT A GOOD TEACHER JURAZ PENA IS, I ESTEEM HIM VERY MUCH BECAUSE HE CARES ABOUT HIS STUDENTS AND TEACHES WELL."
yo  lo  califico  que es buen  maestro porque es un maestro  responsable estricto ensena y  deja mucha tareas  aprendi  mucho con  el,BUENO,10.0,10.0,"derecho  civil, fiscal  merc. y procesales",10.0,08/Ago/2011,I rate him as a good teacher because he is a responsible and strict teacher who teaches and leaves a lot of homework I learned a lot with him.
muy  buen  profesor  exigente y  deja muchas  tareas  aprendes  mucho,BUENO,10.0,10.0,derecho  mercantil  y  fiscal,10.0,07/Ago/2011,"very good teacher, demanding and leaves a lot of homework, you learn a lot."
por  este  medio  le hago llegar  un saludo  efectuoso  al  maestro juraz  peña  y  agradecerle  lo mucho que  aprendi  de  él en distintas clases  que me toco  llevar  para  es muy  buen  maestro,BUENO,10.0,10.0,"civil,  mercantil  y fiscal",10.0,07/Ago/2011,I hereby send my best regards to the teacher Juraz Peña and thank him for the many things I learned from him in the different classes I had to attend.
juraz  pena es un buen maestro pero  deja  muchas tareas  y nunca falta,BUENO,10.0,10.0,int. al est.  de derecho,10.0,06/Ago/2011,juraz pena is a good teacher but he leaves a lot of homework and is never absent.
El  maestro  juraz   es  muy  responsable y  sabe  cumplir  con  sus alumnos  considero   que es muy buena persona  como  maestro sabe comprender a sus alumnos y  los hace  que aprendan mucho,BUENO,10.0,10.0,derecho   fiscal  y  administratrivo,10.0,06/Ago/2011,The teacher juraz is very responsible and knows how to comply with his students I consider him to be a very good person as a teacher he knows how to understand his students and makes them learn a lot.
EL MAESTRO  JURAZ  PENA  ES BUENO,BUENO,10.0,10.0,INT. AL  DERECHO,10.0,05/Ago/2011,MASTER JURAZ PENA IS GOOD
CALIFICAR  A UN PROFESOR ES DEFICIL LO QUE PUEDO DECIR  DEL  MAESTRO JURAZ  QUE SE APRENDE MUCHO  MUY  HONESTO MUY  RESPONSABLE  Y NUNCA FALTA  ESPERO  QUE SIGA  IGUAL,BUENO,10.0,10.0,PROCESAL  PENAL,10.0,05/Ago/2011,TO QUALIFY A TEACHER IS DEFICIL WHAT I CAN SAY ABOUT THE TEACHER JURAZ THAT YOU LEARN A LOT VERY HONEST VERY RESPONSIBLE AND NEVER MISSES I HOPE HE CONTINUES THE SAME.
El  maestro juraz  es  bien  profesor yo  aprendi  mucho  con  el  maestro juraz porque sabe de todo,BUENO,10.0,10.0,dercho  civil  y  mercantil,10.0,05/Ago/2011,Maestro Juraz is a good teacher I learned a lot with Maestro Juraz because he knows everything.
para  mi  es el mejor  maestro  de derecho  pero  deja  mucha tarea  y  nunca falta,BUENO,10.0,10.0,derecho  fiscal  y  procesal,10.0,04/Ago/2011,for me he is the best teacher of law but he leaves a lot of homework and never misses.
UN GRAN MAESTRO  SOLO  PIENSA EN  SUPERARSE PARA SER MAS EFICAZ  TIENE MUCHO  ESTUDIO  Y POSEE MUCHA EXPERIENCIA COMO  ABOGADO  Y  PROFFESOR,BUENO,10.0,10.0,INT.  AL EST.  DE DERECHO Y D. CIVIL,10.0,04/Ago/2011,"A GREAT TEACHER WHO ONLY THINKS OF IMPROVING HIMSELF TO BE MORE EFFECTIVE, HAS A LOT OF STUDY AND HAS A LOT OF EXPERIENCE AS A LAWYER AND TEACHER."
EL MAESTRO  JURAZ  PENA ENSENA MUY  BIEN  Y SE  PREOCUPA MUCHO POR  SUS  ALUMNOS  YO  APRENDI  MUCHO EN LAS SEIS  MATERIS  QUE LLEVE  CON  EL  ES  UNO  DE  LOS  MEJORES  MAESTRO  DE  DERECHO QUE  HAY,BUENO,10.0,10.0,DERECHO  CIVIL  MERCANTIL...,10.0,03/Ago/2011,"JURAZ PENA TEACHES VERY WELL AND CARES A LOT ABOUT HIS STUDENTS I LEARNED A LOT IN THE SIX SUBJECTS I TOOK WITH HIM, HE IS ONE OF THE BEST LAW TEACHERS THERE IS."
Quiero  mucho al maestro juraz  pena  y lo recomiendo mucho  si  quieres  aprender  inscribete  con el,BUENO,10.0,10.0,filosofia  juridica  e  int. al  est. del  derecho,10.0,03/Ago/2011,"I love master juraz pena and I highly recommend him if you want to learn, sign up with him."
SE  HABLA  MUCHO  DEL  PROFESOR  JURAZ PARA  MI  FUE  MUY  BUEN  MAESTRO  APRENDI  MUCHO  DE  EL POSEE  MUCHA  EXPERIENCIA,BUENO,10.0,10.0,DERECHO  CIVIL,10.0,03/Ago/2011,THERE IS A LOT OF TALK ABOUT PROFESSOR JURAZ FOR ME HE WAS A VERY GOOD TEACHER I LEARNED A LOT FROM HIM HE HAS A LOT OF EXPERIENCE.
ES  BUEN MAESTRO Y  ESTRICTO,BUENO,10.0,10.0,DERECHO  PROCESAL  CIVIL  Y  MERCANTIL,10.0,03/Ago/2011,IS A GOOD TEACHER AND STRICT
MUY BUEN PROFESOR,BUENO,10.0,10.0,D.  FISCAL,10.0,03/Ago/2011,VERY GOOD TEACHER
ENSENA MUY BIEN Y  SE APRENDE MUCHO CON EL MAESTRO  JURAZ,BUENO,10.0,10.0,DERECHO  CIVIL,10.0,02/Ago/2011,HE TEACHES VERY WELL AND ONE LEARNS A LOT WITH MAESTRO JURAZ
ES  UNO  DE  LOS  MAESTRO  MAS  CUMPLIDO  Y  HONESTO DEL DEPARTAMENTO DERECHO  EN  LO  PERSONAL  HE  APRENDIDO  MUCHO  CON  EL MAESTRO  JURAZ  PENA,BUENO,10.0,10.0,DERECHO  CIVIL,10.0,02/Ago/2011,"HE IS ONE OF THE MOST ACCOMPLISHED AND HONEST TEACHERS IN THE LAW DEPARTMENT. PERSONALLY, I HAVE LEARNED A LOT WITH JURAZ PENA."
QUIERO  AGRADECER  AL  MAESTRO  JURAZ  PENA  POR SUS CONSEJOS  POR TODO LO  QUE  SE  PREOCUPA  POR  SUS  ALUMNOS PARA  QUE  SEAMOS  MEJORES  PROFESIONALES  LASTIMA QUE ALGUNOS  IRRESPONSABLES  NO  LO VEN  ASI  MAESTRO  NO  CAMBIE  ES USTED UNO  DE  LOS  MEJORES MAESTRO,BUENO,10.0,10.0,DERECHO  ADMINISTRATIVO  Y FISCAL,10.0,02/Ago/2011,"I WANT TO THANK THE TEACHER JURAZ PENA FOR HIS ADVICE FOR EVERYTHING HE CARES ABOUT HIS STUDENTS SO THAT WE CAN BE BETTER PROFESSIONALS, IT IS A PITY THAT SOME IRRESPONSIBLE PEOPLE DO NOT SEE IT THAT WAY, TEACHER, DO NOT CHANGE, YOU ARE ONE OF THE BEST TEACHERS."
RECOMIENDO  AL  MAESTRO  JURAZ  PENA  COMO  GRAN   MAESTRO DEL  DEPARTAMENTO  DE  DERECHO DE  LA  UNISON,BUENO,10.0,10.0,FILOSOFIA  JURIDICA,10.0,01/Ago/2011,I RECOMMEND MAESTRO JURAZ PENA AS A GREAT TEACHER OF THE UNISON LAW DEPARTMENT.
es  un  maestro   exigente  pero  aprendes  mucho  porque  es  muy  buen  maestro  te  lo  recomiendo  si  quieres  aprender,BUENO,10.0,10.0,derecho  procesal  civil,10.0,31/Jul/2011,he is a demanding teacher but you learn a lot because he is a very good teacher I recommend him if you want to learn.
se  aprende  mucho  con el maestro  juraz  pena,BUENO,10.0,10.0,procesal  penal,8.5,30/Jul/2011,you learn a lot with master juraz pena
CON  EL MAESTRO  JURAZ  PENA  SE  APRENDE  MUCHO  EL  QUE  QUIERE APRENDER QUE  SE  INSCRIBA CON  EL  ES EL  MEJOR  MAESTRO  QUE  HE TENIDO   GRACIAS   MAESTRO  POR  SER  TAN BUENO Y  POR  PREOCUPARSE  POR  SUS  ALUMNOS  LO RECOMIENDO AMPLIAMENTE COMO  MAESTRO Y  COMO  ABOGADO,BUENO,10.0,10.0,"DERECHO  PROCESAL  CIVIL,  MERCANTIL, FISCAL Y ADMINIST",10.0,30/Jul/2011,WITH THE TEACHER JURAZ PENA YOU LEARN A LOT IF YOU WANT TO LEARN YOU SHOULD ENROLL WITH HIM HE IS THE BEST TEACHER I HAVE EVER HAD THANK YOU TEACHER FOR BEING SO GOOD AND FOR CARING ABOUT YOUR STUDENTS I HIGHLY RECOMMEND HIM AS A TEACHER AND AS A LAWYER.
se aprende mucho  con  el  maestro  juraz  pena cuando  se es alumno  responsable y cumplido con  la  clase  es el  mejor  maestro en todos los aspectos responsable estricto y  explica muy  bien,BUENO,10.0,10.0,"derecho fiscal, civil  y  procesal  civil",10.0,29/Jul/2011,you learn a lot with the teacher juraz pena when you are a responsible student and comply with the class is the best teacher in all aspects responsible strict and explains very well
En clases en línea siempre estuvo al 100 explicando si participas y haces los ejercicios es nota alta segura puesto que sube puntos y los exámenes son muy similares a los problemas de clase,BUENO,10.0,10.0,Ecuaciones Diferenciales,10.0,18/Dic/2021,In online classes he was always at 100 percent explaining if you participate and do the exercises it is a high mark for sure since it raises points and the exams are very similar to the class problems.
Lo llevé en presencial y luego intento fallido en linea Explica muy bien pero los exámenes son muy pocos y lo más probable es que repruebes Francamente no vale tu tiempo el llevar la materia con él ya que afectará tu salud mental,BUENO,8.0,2.0,Calculo 2,7.0,28/May/2022,"He explains very well but the exams are very few and you will most likely fail. Frankly, it is not worth your time to take the course with him as it will affect your mental health."
Sufrí mucho con el profe siento que no explica tan claro como otros profes pero enseña muchas cosas Reprueba mucho tienes que exigirte bastante a ti mismo si quieres tener un buen promedio,REGULAR,4.0,4.0,Matemáticas,8.5,10/May/2020,I suffered a lot with the teacher I feel he doesn't explain as clearly as other teachers but he teaches a lot of things He fails a lot you have to demand a lot from yourself if you want to have a good average
es un profe con el cual le sufriras y probablemente repruebes pero es un gran profesor y es con quien mas he aprendido,BUENO,7.0,6.0,Calculo,24.0,24/Oct/2019,he is a teacher with whom you will suffer and probably fail but he is a great teacher and he is the one I have learned the most from.
Es un drogadicto y acepta sobornos de los reprobados,MALO,2.0,2.0,Análisis y diseño de sistemas,10.0,18/May/2018,He is a drug addict and takes bribes from reprobates.
"Lleven Cheves y Pasan 
Eso es todo",MALO,2.0,10.0,Diseño de Experimentos,10.0,19/Abr/2016,"Take Cheves and Pass
That's all"
Cervantes realmente te presiona a trabajar y te da opiniones muy sinceras sobre tus trabajos si tu trabajo está del asco te lo hace saber Algunos se enojan pero te ayuda mucho a ver lo que hiciste mal y aprender de ello además correlaciona todo con clínica y otras materias No contesta dudas,BUENO,7.0,6.0,Histología,9.0,24/May/2023,Cervantes really pushes you to work and gives you very honest feedback on your work if your work sucks he lets you know Some people get angry but it helps you a lot to see what you did wrong and learn from it plus he correlates everything with clinical and other subjects He doesn't answer questions
Todo bien,BUENO,7.0,4.0,Histologia,7.5,29/Oct/2022,All good
Es un excelente maestro Su clase al principio es muy difícil y tediosa porque debes leer muchísimo pero con el tiempo te acostumbras Al final de cada sesión siempre relaciona el tema con lo más importante y con patologías,BUENO,10.0,2.0,Histología,8.5,30/Dic/2017,He is an excellent teacher His class at the beginning is very difficult and tedious because you have to read a lot but with time you get used to it At the end of each session he always relates the topic to the most important and to pathologies.
La clase tiene un ritmo batante rápido es cuestión de saber estudiar Aprende el que quiere porque a fin de cuentas se hacen el paro en la clase así que siempre estudia Pone un examencito cada semana Hay que estudiar todo para el examen parcial Si promedio es 70 es obligatorio hacerel final,BUENO,7.0,2.0,Histología,9.0,08/Ago/2017,"The class has a very fast pace, it is a matter of knowing how to study Whoever wants to learn learn learns because at the end of the day they make the class stand still, so they always study."
Un gran maestro tardas un poco en acostumbrarte a su ritmo pero vale la pena,BUENO,10.0,6.0,Histología,8.5,04/Feb/2014,A great teacher takes a little time to get used to his rhythm but it is worth it.
"En linea 
No da retroalimentación de exámenes y las tareas se hacen leyendo los capítulos de Bird
Pasa los apuntes unos días antes del examen y no se puede grabar clase 

Lo bueno es que no se pone estricto en las calificaciones finales",BUENO,7.0,4.0,Fenómenos de transporte,8.0,16/Dic/2020,"Online
No exam feedback and assignments are done by reading Bird's chapters.
Passes the notes a few days before the exam and you can't record class.

The good thing is that it is not strict in the final grades."
La mejor clase que he tenido López Soto es increíble para explicar literal solo ocupas tus apuntes y un poquito de unas presentaciones que deja y con eso la armas Sus exámenes son difíciles pero justos en Bioquímica sí estarán bien pesados Es muy divertido aún que repite chistes de más,BUENO,10.0,4.0,Fisiología Celular,9.0,24/May/2023,The best class I have ever had Lopez Soto is incredible to explain literally you only need your notes and a little bit of some presentations that he leaves and with that you arm it His exams are difficult but fair in Biochemistry they will be very heavy He is very funny even though he repeats jokes too many times
es muy buen docente y persona cualquier duda que tengas te la resuelve aun si es la quinta vez que preguntas Trata de explicar conceptos con situaciones divertidas,BUENO,10.0,6.0,Fisiologia Celular,7.5,08/Ene/2023,"He is a very good teacher and person, he will solve any doubt you may have, even if it is the fifth time you ask him. He tries to explain concepts with funny situations."
Explica muy bien te responde dudas del dia 1 aunque sea el ultimo dia pero reprueba mas de la mitad de la generación,BUENO,9.0,4.0,Bioquímica medica,6.0,14/Ene/2022,"He explains very well and answers questions from day 1, even if it is the last day, but he fails more than half of the generation."
Si son autodidactas no cometan el error de agarrar con el ya que te afectara y buscara que repruebes de alguna forma aunque al principio no lo parezca,REGULAR,6.0,2.0,Bioquimica,7.0,28/May/2020,"If you are self-taught, do not make the mistake of grabbing with him because he will affect you and will try to make you fail in some way, even if it does not seem so at first."
